
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.64,13.94,6.96,0.0,1.38
2024,2,0.59,14.06,7.8,0.32,1.61
2024,3,0.58,14.78,8.87,0.5,1.23
2024,4,0.68,14.96,8.39,0.09,1.33
2024,5,0.65,14.84,8.88,0.31,1.91
2024,6,0.71,15.8,8.65,0.41,1.9
2024,7,0.68,15.71,7.27,0.0,2.16
2024,8,0.61,15.43,6.98,0.0,1.39
2024,9,0.67,14.39,6.93,0.0,2.03
2024,10,0.69,12.9,6.54,0.6,2.62
2024,11,0.39,13.79,8.17,13.11,3.31
2024,12,0.39,13.88,8.36,23.88,3.65
2024,13,0.65,13.16,7.11,0.86,3.33
2024,14,0.4,13.18,7.67,10.88,2.93
2024,15,0.65,12.65,7.19,5.43,1.67
2024,16,0.75,12.48,6.53,0.0,1.44
2024,17,0.55,12.99,6.11,0.0,0.51
2024,18,0.72,14.15,6.54,0.0,0.69
2024,19,0.74,13.55,6.51,0.0,1.2
2024,20,0.76,14.82,6.77,0.0,1.16
2024,21,0.68,14.99,6.09,0.0,1.58
2024,22,0.76,15.18,6.92,0.49,2.05
2024,23,0.46,14.59,9.09,5.44,3.56
2024,24,0.53,13.54,8.29,6.67,2.63
2024,25,0.73,13.09,7.9,3.5,1.47
2024,26,0.44,13.0,8.18,70.91,3.42
2024,27,0.43,11.54,6.84,22.61,3.42
2024,28,0.53,11.83,7.21,62.49,1.87
2024,29,0.54,11.81,7.53,86.72,1.95
2024,30,0.73,10.99,7.11,48.24,3.72
2024,31,0.77,9.58,6.28,8.8,1.86
2024,32,0.59,8.85,6.18,10.38,2.18
2024,33,0.39,10.54,7.06,17.1,2.57
2024,34,0.62,10.82,6.94,4.58,2.09
2024,35,0.72,10.06,6.87,8.74,1.92
2024,36,0.59,11.98,7.86,11.94,2.71
2024,37,0.57,13.09,7.92,1.06,1.78
2024,38,0.9,13.81,7.97,0.46,1.02
2024,39,0.84,12.88,6.88,0.0,1.59
2024,40,0.86,13.38,8.13,0.43,1.59
2024,41,0.83,13.17,7.74,0.43,1.25
2024,42,0.92,12.97,7.03,0.02,1.36
2024,43,0.75,13.9,6.89,0.0,2.03
2024,44,0.69,13.84,7.61,0.03,1.98
2024,45,0.71,12.77,8.26,3.41,2.51
2024,46,0.67,11.84,7.3,3.94,1.54
2024,47,0.56,11.04,7.62,11.86,2.65
2024,48,0.6,11.41,7.6,4.57,2.69
2024,49,0.58,12.31,7.69,1.7,1.77
2024,50,0.55,12.53,7.79,3.9,2.2
2024,51,0.78,12.74,7.54,0.44,1.46
2024,52,0.98,12.48,6.92,0.0,1.14
2024,53,0.98,12.55,7.72,0.03,1.62
2024,54,0.75,12.32,7.68,0.03,1.21
2024,55,0.54,13.55,8.13,1.24,1.51
2024,56,1.02,13.83,7.72,0.03,1.22
2024,57,1.01,13.15,6.75,0.0,1.44
2024,58,0.7,13.11,7.17,0.03,1.54
2024,59,1.09,12.5,6.26,0.0,1.94
2024,60,1.13,11.35,4.82,0.0,2.9
2024,61,1.02,12.76,4.83,0.0,2.51
2024,62,1.1,13.92,7.45,0.1,2.66
2024,63,0.74,13.9,8.59,1.2,2.5
2024,64,1.0,13.44,8.0,0.98,1.51
2024,65,1.19,13.81,7.26,0.05,1.14
2024,66,1.13,13.71,7.65,0.34,2.44
2024,67,0.8,13.49,7.93,0.38,2.33
2024,68,1.1,13.92,7.5,0.04,1.27
2024,69,1.1,13.15,7.7,0.11,1.7
2024,70,1.2,12.72,7.29,0.0,1.44
2024,71,1.23,13.06,6.87,0.0,1.5
2024,72,1.21,15.94,6.04,0.0,2.05
2024,73,1.18,15.16,7.34,0.0,1.8
2024,74,1.08,14.95,8.53,0.01,1.7
2024,75,1.14,13.85,7.78,0.02,2.14
2024,76,0.89,13.69,7.29,0.0,1.03
2024,77,0.86,15.73,8.01,0.05,1.32
2024,78,0.66,15.32,9.41,8.7,2.7
2024,79,0.67,13.17,8.22,6.92,3.53
2024,80,1.32,13.94,7.61,0.57,2.37
2024,81,1.27,15.26,7.73,0.32,2.44
2024,82,1.08,13.34,7.26,0.25,2.85
2024,83,1.27,13.63,6.83,0.03,1.64
2024,84,0.92,12.66,7.1,0.17,2.21
2024,85,1.05,12.57,6.98,0.1,2.13
2024,86,1.21,13.74,6.59,0.0,2.26
2024,87,1.01,17.76,6.8,0.0,1.22
2024,88,1.25,20.25,7.84,0.0,1.31
2024,89,0.84,19.04,9.37,0.03,0.99
2024,90,1.25,19.43,10.29,0.02,1.2
2024,91,1.36,20.85,9.16,0.0,1.56
2024,92,1.35,20.7,8.45,0.0,1.9
2024,93,1.18,20.73,8.67,0.0,1.27
2024,94,1.38,20.36,8.81,0.0,1.05
2024,95,1.44,19.49,7.58,0.0,1.23
2024,96,1.42,17.82,8.79,0.0,1.71
2024,97,1.47,16.72,9.12,0.25,2.08
